127.0.0.1, 2014-06-06 12:20:42, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000177
127.0.0.1, 2014-06-06 12:20:42, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000232
127.0.0.1, 2014-06-06 12:20:42, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.000191
127.0.0.1, 2014-06-06 12:20:42, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000292
127.0.0.1, 2014-06-06 12:20:42, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000257
127.0.0.1, 2014-06-06 12:20:42, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000199
127.0.0.1, 2014-06-06 12:20:42, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000279
127.0.0.1, 2014-06-06 12:20:42, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000174
127.0.0.1, 2014-06-06 12:20:42, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000160
127.0.0.1, 2014-06-06 12:20:42, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000349
127.0.0.1, 2014-06-06 12:20:42, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000237
127.0.0.1, 2014-06-06 12:20:42, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000381
127.0.0.1, 2014-06-06 12:20:43, GET, /welcome/stream, HTTP/1.1, 200, 0.032502
127.0.0.1, 2014-06-06 12:20:43, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000259
127.0.0.1, 2014-06-06 12:20:43, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000352
127.0.0.1, 2014-06-06 12:20:43, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001870
127.0.0.1, 2014-06-06 12:20:43, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000263
127.0.0.1, 2014-06-06 12:20:43, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000238
127.0.0.1, 2014-06-06 12:20:43, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.000179
127.0.0.1, 2014-06-06 12:20:43, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000177
127.0.0.1, 2014-06-06 12:20:43, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000186
127.0.0.1, 2014-06-06 12:20:43, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000197
127.0.0.1, 2014-06-06 12:20:43, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000203
127.0.0.1, 2014-06-06 12:20:43, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000249
127.0.0.1, 2014-06-06 12:20:43, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000187
127.0.0.1, 2014-06-06 12:20:43, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000269
127.0.0.1, 2014-06-06 12:20:43, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000187
127.0.0.1, 2014-06-06 12:20:43, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000190
127.0.0.1, 2014-06-06 12:20:54, GET, /welcome/stream, HTTP/1.1, 200, 0.037465
127.0.0.1, 2014-06-06 12:20:54, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000259
127.0.0.1, 2014-06-06 12:20:54, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000173
127.0.0.1, 2014-06-06 12:20:54, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000171
127.0.0.1, 2014-06-06 12:20:54, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000612
127.0.0.1, 2014-06-06 12:20:54, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000265
127.0.0.1, 2014-06-06 12:20:54, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.000199
127.0.0.1, 2014-06-06 12:20:54, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000243
127.0.0.1, 2014-06-06 12:20:54, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000182
127.0.0.1, 2014-06-06 12:20:54, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000221
127.0.0.1, 2014-06-06 12:20:54, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000227
127.0.0.1, 2014-06-06 12:20:54, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000181
127.0.0.1, 2014-06-06 12:20:54, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000225
127.0.0.1, 2014-06-06 12:20:54, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000249
127.0.0.1, 2014-06-06 12:20:54, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000174
127.0.0.1, 2014-06-06 12:20:54, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000174
127.0.0.1, 2014-06-06 12:22:22, GET, /welcome/stream, HTTP/1.1, 200, 0.038196
127.0.0.1, 2014-06-06 12:22:22, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000269
127.0.0.1, 2014-06-06 12:22:22, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000178
127.0.0.1, 2014-06-06 12:22:22, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000163
127.0.0.1, 2014-06-06 12:22:22, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000174
127.0.0.1, 2014-06-06 12:22:22, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.000525
127.0.0.1, 2014-06-06 12:22:22, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000169
127.0.0.1, 2014-06-06 12:22:22, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000167
127.0.0.1, 2014-06-06 12:22:22, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000164
127.0.0.1, 2014-06-06 12:22:22, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000164
127.0.0.1, 2014-06-06 12:22:22, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000203
127.0.0.1, 2014-06-06 12:22:22, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000168
127.0.0.1, 2014-06-06 12:22:22, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001151
127.0.0.1, 2014-06-06 12:22:22, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000256
127.0.0.1, 2014-06-06 12:22:22, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000218
127.0.0.1, 2014-06-06 12:22:22, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000192
127.0.0.1, 2014-06-06 12:22:23, GET, /welcome/stream, HTTP/1.1, 200, 0.037346
127.0.0.1, 2014-06-06 12:22:23, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000275
127.0.0.1, 2014-06-06 12:22:23, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000251
127.0.0.1, 2014-06-06 12:22:23, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000199
127.0.0.1, 2014-06-06 12:22:23, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000173
127.0.0.1, 2014-06-06 12:22:23, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000232
127.0.0.1, 2014-06-06 12:22:23, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.000173
127.0.0.1, 2014-06-06 12:22:23, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000507
127.0.0.1, 2014-06-06 12:22:23, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000436
127.0.0.1, 2014-06-06 12:22:23, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000272
127.0.0.1, 2014-06-06 12:22:23, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000232
127.0.0.1, 2014-06-06 12:22:23, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000679
127.0.0.1, 2014-06-06 12:22:23, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001113
127.0.0.1, 2014-06-06 12:22:23, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000254
127.0.0.1, 2014-06-06 12:22:23, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000179
127.0.0.1, 2014-06-06 12:22:23, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000220
127.0.0.1, 2014-06-06 12:22:23, GET, /welcome/stream, HTTP/1.1, 200, 0.033930
127.0.0.1, 2014-06-06 12:22:23, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000263
127.0.0.1, 2014-06-06 12:22:23, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000536
127.0.0.1, 2014-06-06 12:22:23, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000211
127.0.0.1, 2014-06-06 12:22:23, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000219
127.0.0.1, 2014-06-06 12:22:23, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000171
127.0.0.1, 2014-06-06 12:22:23, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.000165
127.0.0.1, 2014-06-06 12:22:23, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000466
127.0.0.1, 2014-06-06 12:22:23, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000194
127.0.0.1, 2014-06-06 12:22:23, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000179
127.0.0.1, 2014-06-06 12:22:23, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000173
127.0.0.1, 2014-06-06 12:22:23, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000167
127.0.0.1, 2014-06-06 12:22:23, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000167
127.0.0.1, 2014-06-06 12:22:23, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000261
127.0.0.1, 2014-06-06 12:22:23, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000186
127.0.0.1, 2014-06-06 12:22:23, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000281
127.0.0.1, 2014-06-06 12:22:51, GET, /welcome/stream, HTTP/1.1, 200, 0.033718
127.0.0.1, 2014-06-06 12:22:51, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000264
127.0.0.1, 2014-06-06 12:22:51, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000176
127.0.0.1, 2014-06-06 12:22:51, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000164
127.0.0.1, 2014-06-06 12:22:51, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000168
127.0.0.1, 2014-06-06 12:22:51, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000174
127.0.0.1, 2014-06-06 12:22:51, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.000168
127.0.0.1, 2014-06-06 12:22:51, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000246
127.0.0.1, 2014-06-06 12:22:51, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000240
127.0.0.1, 2014-06-06 12:22:51, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000167
127.0.0.1, 2014-06-06 12:22:51, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000163
127.0.0.1, 2014-06-06 12:22:51, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000168
127.0.0.1, 2014-06-06 12:22:51, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000166
127.0.0.1, 2014-06-06 12:22:51, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000255
127.0.0.1, 2014-06-06 12:22:51, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000544
127.0.0.1, 2014-06-06 12:22:51, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000334
127.0.0.1, 2014-06-06 12:22:55, GET, /admin/default/design.html/welcome, HTTP/1.1, 303, 0.060006
127.0.0.1, 2014-06-06 12:22:55, GET, /admin/default/index, HTTP/1.1, 200, 0.032766
127.0.0.1, 2014-06-06 12:22:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000205
127.0.0.1, 2014-06-06 12:22:57, GET, /welcome/stream, HTTP/1.1, 200, 0.033341
127.0.0.1, 2014-06-06 12:23:45, GET, /welcome/stream, HTTP/1.1, 200, 0.057754
127.0.0.1, 2014-06-06 12:23:45, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000555
127.0.0.1, 2014-06-06 12:23:45, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000333
127.0.0.1, 2014-06-06 12:23:45, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000185
127.0.0.1, 2014-06-06 12:23:45, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000198
127.0.0.1, 2014-06-06 12:23:45, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000172
127.0.0.1, 2014-06-06 12:23:45, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.000213
127.0.0.1, 2014-06-06 12:23:45, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000206
127.0.0.1, 2014-06-06 12:23:45, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000165
127.0.0.1, 2014-06-06 12:23:45, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001224
127.0.0.1, 2014-06-06 12:23:45, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000264
127.0.0.1, 2014-06-06 12:23:45, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000205
127.0.0.1, 2014-06-06 12:23:45, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000183
127.0.0.1, 2014-06-06 12:23:46, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000255
127.0.0.1, 2014-06-06 12:23:46, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000195
127.0.0.1, 2014-06-06 12:23:46, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000172
127.0.0.1, 2014-06-06 12:23:47, GET, /welcome/stream, HTTP/1.1, 200, 0.028491
127.0.0.1, 2014-06-06 12:23:47, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000300
127.0.0.1, 2014-06-06 12:23:47, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000341
127.0.0.1, 2014-06-06 12:23:47, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000218
127.0.0.1, 2014-06-06 12:23:47, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000215
127.0.0.1, 2014-06-06 12:23:47, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000192
127.0.0.1, 2014-06-06 12:23:47, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.000312
127.0.0.1, 2014-06-06 12:23:47, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000212
127.0.0.1, 2014-06-06 12:23:47, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000242
127.0.0.1, 2014-06-06 12:23:47, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000255
127.0.0.1, 2014-06-06 12:23:47, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000245
127.0.0.1, 2014-06-06 12:23:47, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000221
127.0.0.1, 2014-06-06 12:23:47, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000216
127.0.0.1, 2014-06-06 12:23:47, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000255
127.0.0.1, 2014-06-06 12:23:47, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000168
127.0.0.1, 2014-06-06 12:23:47, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000239
127.0.0.1, 2014-06-06 12:24:11, GET, /welcome/stream, HTTP/1.1, 200, 0.032633
127.0.0.1, 2014-06-06 12:24:11, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000260
127.0.0.1, 2014-06-06 12:24:11, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000226
127.0.0.1, 2014-06-06 12:24:11, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000167
